Proposal Number,Project number,Account Name,Opportunity Name,Confidence,Stage,Probability (%),Close Date,Carnet Assignment,Date of Carnet Assignment,Durée du Projet (Nb. de semaines),Nb. Hrs. Atelier (Sans Contingence),Nb. Hrs. Élec. (Sans Contingence,Nb. Hrs. Gestion,Nb. Hrs. Logiciel (Sans Contingence),Nb. Hrs. Mec. (Sans Contingence),Nb. Hrs. Procédé (Sans Contingence),Nb. Hrs. RC (Sans Contingence),Nb. Hrs. Robot (Sans Contingence),Main Process Type,Secondary Process Type,Third Process Type,SharePoint
4815,,Lisi (Marmande),Ajout Orbitale Lisi Marmande R2,100% Closed Won,Closed Won,100,18/07/2017,75% Negotiate/Review ou Projet soumis au calcul de R.O.I.,14/08/2017,,,0,20,0,0,136,0,0,Polishing Non-Attribué,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04815&v=search"" target=""_blank"">SharePoint Reference</a>"
5309,,AV&R (Démos Client),Tests Lisi Polissage 2 ref,100% Closed Won,Closed Won,100,8/12/2017,90% Verbal Agreement ou R.O.I. validé par DODE,12/12/2017,,,,,,,,,,Polishing Non-Attribué,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05309&v=search"" target=""_blank"">SharePoint Reference</a>"
5388,C-01988,Lisi (Marmande),Garantie - One (1) GE9x Blades Robotic Profiling System R7,100% Closed Won,Closed Won,100,29/01/2018,90% Verbal Agreement ou R.O.I. validé par DODE,15/01/2018,,,,,,,,,,Profiling,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05388&v=search"" target=""_blank"">SharePoint Reference</a>"
,R-1988,Lisi (Marmande),One (1) GE9x Blades Robotic Profiling System R7,100% Closed Won,Closed Won,100,29/01/2018,90% Verbal Agreement ou R.O.I. validé par DODE,15/01/2018,26,280,324,408,158,478,744,0,216,Profiling,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=R-1988&v=search"" target=""_blank"">SharePoint Reference</a>"
4996,,Safran Helicopter Engines (Bordes),Étude - Polissage Aubes HVOF - R5,100% Closed Won,Closed Won,100,16/10/2018,,14/05/2018,32,,0,165,0,96,856,0,16,Controlled Polishing,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04996&v=search"" target=""_blank"">SharePoint Reference</a>"
5317,,Lisi (Rzeszow),Développement procédé controlled polishing,90%  Verbal or written agreement,P.O. en Acceptation,95,12/4/2019,90% Verbal Agreement ou R.O.I. validé par DODE,25/03/2019,10,0,0,30,0,18,234,0,0,Controlled Polishing,Profiling,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05317&v=search"" target=""_blank"">SharePoint Reference</a>"
5668,,Lisi (Marmande),Étude  - Polissage BA GE9X,90%  Verbal or written agreement,P.O. en Acceptation,95,12/4/2019,90% Verbal Agreement ou R.O.I. validé par DODE,4/3/2019,11,16,0,28,0,4,188,0,4,Cosmetic Polishing,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05668&v=search"" target=""_blank"">SharePoint Reference</a>"
5667,,Safran Aircraft Engines (Gennevilliers),Étude - Profilage BA Leap R2,90%  Verbal or written agreement,Develop Fixed Price Proposal,50,19/04/2019,75% Negotiate/Review ou Projet soumis au calcul de R.O.I.,1/4/2019,8,18,0,35,0,12,124,0,8,Profiling,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05667&v=search"" target=""_blank"">SharePoint Reference</a>"
5669,,Lisi (Marmande),Une (1) cellule de polissage BA GE9X,60% Short listed,Develop Fixed Price Proposal,50,31/05/2019,,,37,461,399,425,0,539,1134,120,520,Cosmetic Polishing,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05669&v=search"" target=""_blank"">SharePoint Reference</a>"
5822,,Safran Helicopter Engines (Bordes),Étude - Ébavurage Aubes HVOF,30% Preliminary analysis,Develop Fixed Price Proposal,50,21/06/2019,,,,,,,,,,,,Deburring,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05822&v=search"" target=""_blank"">SharePoint Reference</a>"
4962,,Safran Aircraft Engines (Gennevilliers),Étude - Ajustage d-aubes Militaires,75% Choosen,Budgetary Submitted,40,21/06/2019,,,,3,0,55,0,23,386,0,0,Deburring,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04962&v=search"" target=""_blank"">SharePoint Reference</a>"
4491,,Airfoils Advanced Solutions,Étude de tip blending HPC GE90,75% Choosen,Go/No-Go,10,1/7/2019,,,,0,0,3,0,0,80,0,0,Weld & A.M. Blending,Cosmetic Polishing,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04491&v=search"" target=""_blank"">SharePoint Reference</a>"
4665,,Safran Aircraft Engines (Gennevilliers),Étude - Reprise Bord Fuite (Multiple LPT Profiling) Phase2,75% Choosen,Proposal Submitted,60,2/9/2019,,,,,,,,,,,,Thin Trailing Edge Profiling,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04665&v=search"" target=""_blank"">SharePoint Reference</a>"
5819,,Di Matteo,Une (1) cellule de pin blending,10% Project identified,Go/No-Go,10,11/10/2019,,,,,,,,,,,,Pin Blending,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05819&v=search"" target=""_blank"">SharePoint Reference</a>"
5666,,Lisi (Rzeszow),Deux (2) cellules combi R5,75% Choosen,Negotiation/Review,75,1/11/2019,,,27,675,225,370,0,356,970,48,410,Controlled Polishing,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05666&v=search"" target=""_blank"">SharePoint Reference</a>"
5768,,Mecafi (Châtellerault),Deux (2) cellules de polissage et ébavurage OGV,30% Preliminary analysis,Go/No-Go,10,15/11/2019,,,,,,,,,,,,Cosmetic Polishing,Deburring,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05768&v=search"" target=""_blank"">SharePoint Reference</a>"
5767,,Chromalloy (Rochefort) Malichaud Atlantique,Une (1) ou trois (3) cellules d-ébavurage de LPT blade LEAP,30% Preliminary analysis,Develop Budgetary Proposal,30,15/11/2019,,,,,,,,,,,,Deburring,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05767&v=search"" target=""_blank"">SharePoint Reference</a>"
5769,,MTU Aero Engines (Jasionka),Une (1) cellule d-ébavurage de LPT blade GTF,10% Project identified,Go/No-Go,10,15/11/2019,,,,,,,,,,,,Deburring,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05769&v=search"" target=""_blank"">SharePoint Reference</a>"
5499,,Safran Aircraft Engines (Saint Quentin),Etude - Reprofilage BA Leap,10% Project identified,Opportunity GO,15,29/11/2019,,,,,,,,,,,,RE-Profiling,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05499&v=search"" target=""_blank"">SharePoint Reference</a>"
5497,,Safran Aircraft Engines (Châtellerault),Une (1) cellule de polissage de MHP,10% Project identified,Opportunity GO,15,29/11/2019,,,,,,,,,,,,Controlled Polishing,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05497&v=search"" target=""_blank"">SharePoint Reference</a>"
